Locality,Title,Location,Rent_raw,Rent_inr,Deposit_raw,Sqft_raw,Sqft,Price_per_sqft,Parking,Furnishing,Available_from,Property_type,Detail_URL
Kothrud,"Office Space in Kothrud, Pune for Rent","Spectra Complex, Jalgaon people","₹ 47,000 No Extra Maintenance",47000,₹ 1 Lac,312 sqft,312,150.64,Parking,Furnished,31-12-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9fbd827c78669c017c7965a6db24df/detail
Kothrud,"Restaurant/Cafe in Karve Nagar, Pune for Rent","Sangunabai Bhoj Path, front of kidzee school near Cummins College","₹ 65,000 No Extra Maintenance",65000,₹ 2.5 Lacs,700 sqft,700,92.86,Parking,Furnished,12-11-2025,Restaurant,https://www.nobroker.in/property/commercial/rent/restaurant-cafe-in-karve-nagar-pune/8a9f8fc39250c388019251057d5c158e/detail
Kothrud,"Office Space in Guruganesh Nagar, Kothrud, Pune for Rent","guru genesh nagar,","₹ 19,000 No Extra Maintenance",19000,"₹ 40,000",195 sqft,195,97.44,Parking,Unfurnished,12-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-guruganesh-nagar--kothrud-pune/8aa9acc69a77bcb4019a7810b4af24b2/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","Sagar colony near DB road, Ashish Garden Banquet Hall","₹ 12,000 No Extra Maintenance",12000,"₹ 24,000",300 sqft,300,40,Parking,Unfurnished,09-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9f8cc3927619f7019276aa64d0270c/detail
Kothrud,"Commercial Property in Karve Putala, Pune for Rent","Karve Road , near Kothrud Post Office",₹ 9.2 Lacs No Extra Maintenance,919999,₹ 55.2 Lacs,300 sqft,300,400,Parking,Unfurnished,06-11-2025,Commercial,https://www.nobroker.in/property/commercial/rent/other-business-in-karve-putala-pune/8a9f9a8497c382eb0197c4880dc43708/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","Mrutyunjay Society Road, sagar fast food","₹ 75,000 No Extra Maintenance",75000,₹ 2.25 Lacs,500 sqft,500,150,Parking,Furnished,08-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9fae8797d001980197d0333a4512ab/detail
Kothrud,"Office Space in Left Bhusari Colony, Near P M T Bus Depo, Paud Road, Bhusari Colony, Kothrud, Pune, Maharashtra 411038, India, Pune for Rent","left busari colony kothrud pune, savali school ,next to vyom building","₹ 3 Lacs + ₹ 30,000 Maintenance",300000,₹ 10 Lacs,000 sqft,0,50,Parking,Unfurnished,30-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-left-bhusari-colony--near-p-m-t-bus-depo--paud-road--bhusari-colony--kothrud--pune--maharashtra-411038--india-pune/8a9fac8597d58f830197d5e651271ebe/detail
Kothrud,"Office Space in Kothrud, Pune for Rent","Sr 145, DP Rd, near Shivaji Maharaj Statue, opp. UCO Bank, Mayur Colony, Kothrud, Pune, Maharashtra 411038, Subudh hospital and research center","₹ 30,000 + ₹ 1,500 Maintenance",30000,"₹ 50,000",780 sqft,780,38.46,Parking,Semi Furnished,07-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kothrud-pune/8a9fbf82868762ba0186876b3799032c/detail
Kothrud,"Co-Working space in The Business Hub, Pune for Rent","hapoy colony near van devi mandir karve nagar road kothurd, van devi mandir","₹ 12,000 No Extra Maintenance",12000,"₹ 24,000",650 sqft,650,18.46,Parking,Furnished,22-10-2025,,https://www.nobroker.in/property/commercial/rent/co-working-space-in-the-business-hub-pune/8a9faf839a0f739e019a0fc847671e65/detail
Baner,"Office Space in Baner, Pune for Rent","Baner, Balewadi High Street","₹ 60,000 No Extra Maintenance",60000,₹ 3.6 Lacs,762 sqft,762,78.74,Parking,Unfurnished,12-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fb7839a33126e019a334c1a260c32/detail
Baner,"Office Space in Baner, Pune for Rent","balewadi phata Near by Ganraj chowk, Balewadi High Street",₹ 1.2 Lacs No Extra Maintenance,120000,₹ 7.2 Lacs,600 sqft,600,75,Parking,Unfurnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f028389643387018964bfc189464d/detail
Baner,"Office Space in Baner, Pune for Rent","Baner Kundan Garden, Pancharatna Shop","₹ 35,000 No Extra Maintenance",35000,"₹ 90,000",400 sqft,400,87.5,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fd582852db37501852e365c825328/detail
Baner,"Office Space in Baner, Pune for Rent","Ambrosla Galaxy Rd, Baner High Street","₹ 42,000 No Extra Maintenance",42000,₹ 1.5 Lacs,600 sqft,600,70,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f8e839a15b2b7019a15b61105000e/detail
Baner,"Office Space in Baner, Pune for Rent","Baner Road, Zudio - Baner","₹ 1.05 Lacs + ₹ 5,000 Maintenance",105000,₹ 6 Lacs,150 sqft,150,91.3,Parking,Unfurnished,13-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f868499662de1019966540e340f80/detail
Baner,"Office Space in Baner, Pune for Rent","Mont Vert Spectra, Baner Road, Vijay Sales","₹ 60,000 No Extra Maintenance",60000,₹ 1.8 Lacs,480 sqft,480,125,Parking,Furnished,16-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fc882826d95bd01826d9d48130171/detail
Baner,"Restaurant/Cafe in Baner, Pune for Rent","Baner Rd, opposite mabaleshwar hotel","₹ 4 Lacs + ₹ 32,500 Maintenance",400000,₹ 24 Lacs,700 sqft,700,85.11,Parking,Unfurnished,20-11-2024,Restaurant,https://www.nobroker.in/property/commercial/rent/restaurant-cafe-in-baner-pune/8a9f87c48e46177a018e4625932d0614/detail
Baner,"Office Space in Baner, Pune for Rent","Baner Road,Ganraj Chowk, Opp Zudio",₹ 1.08 Lacs No Extra Maintenance,108000,₹ 5 Lacs,400 sqft,400,77.14,Parking,Semi Furnished,16-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fa7849773b08f019773cd33a30aad/detail
