Locality,Title,Location,Rent_raw,Rent_inr,Deposit_raw,Sqft_raw,Sqft,Price_per_sqft,Parking,Furnishing,Available_from,Property_type,Detail_URL
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Solapur Road, Mega Center","₹ 38,000 + No Extra Maintenance",38000,"₹ 80,000",427 sqft,427,88.99,Parking,Unfurnished,18-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9f8c8998c0c3400198c0c88f8b00ca/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Solapur Road Highway, iCenter - Apple Service Center","₹ 20,000 No Extra Maintenance",20000,"₹ 63,000",285 sqft,285,70.18,Parking,Unfurnished,17-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8aa99f2d99063b510199066a5b910e0f/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Amanora Park Town main road, Future Towers","₹ 60,000 No Extra Maintenance",60000,₹ 2 Lacs,732 sqft,732,81.97,Parking,Unfurnished,18-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9fb58694caa8180194cadc3598152e/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Handewadi Road, Etasha Society","₹ 20,000 No Extra Maintenance",20000,"₹ 90,000",850 sqft,850,23.53,Parking,Unfurnished,18-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9f938499898e58019989fc8b0c379a/detail
Hadapsar,"Godown/Warehouse in Hadapsar, Pune for Rent","Mantri Market Sasane Nagar Rd, Union Bank Of India","₹ 70,000 No Extra Maintenance",70000,₹ 1 Lac,560 sqft,560,1.61,Parking,Unfurnished,19-11-2025,Warehouse,https://www.nobroker.in/property/commercial/rent/godown-warehouse-in-hadapsar-pune/8a9fb0839a239f4b019a241346b81e15/detail
Hadapsar,"Shop in Hadapsar, Pune for Rent","Pune - Solapur Rd ,Magarpatta, NOBLE HOSPITAL HADAPSAR PUNE","₹ 35,000 No Extra Maintenance",35000,₹ 1 Lac,410 sqft,410,85.37,Parking,Unfurnished,18-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hadapsar-pune/8a9f9a8599290a1901992915d7500404/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Manjri Road, Behind Vedant Pinakin",₹ 1.5 Lacs No Extra Maintenance,150000,₹ 2.25 Lacs,000 sqft,0,30,Parking,Unfurnished,10-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9f8a0492ccd2100192cce3510b04f7/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Magarpatta Road, Opp Seasons Mall Magarpatta","₹ 88,000 No Extra Maintenance",88000,₹ 3 Lacs,273 sqft,273,69.13,Parking,Furnished,27-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9f90838ff7f39c018ff850879f1fe4/detail
Hadapsar,"Office Space in Mega Center, Pune for Rent","pune solapur road, near magarpatta city","₹ 17,500 No Extra Maintenance",17500,"₹ 40,000",310 sqft,310,56.45,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-mega-center-pune/8a9faf8399e269190199e2ab571816a6/detail
Hadapsar,"Godown/Warehouse in Hadapsar, Pune for Rent","Sarthak Society Road, Sarthak Society Road","₹ 25,000 No Extra Maintenance",25000,"₹ 75,000",100 sqft,100,22.73,Parking,Unfurnished,09-11-2025,Warehouse,https://www.nobroker.in/property/commercial/rent/godown-warehouse-in-hadapsar-pune/8a9f9e85997c48cb01997c64940206ae/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","2102a DP Road, Near Chintamani Medical","₹ 35,000 No Extra Maintenance",35000,₹ 1 Lac,750 sqft,750,46.67,Parking,Unfurnished,15-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9f8d8599335c1101993383e1a90ef8/detail
Hadapsar,"Shop in Hadapsar, Pune for Rent","Pune - Solapur Rd, near Mega Center, Magarpatta,, VIJAY SALES - HADAPSAR MAGARPATTA","₹ 60,000 + ₹ 5,000 Maintenance",60000,₹ 2 Lacs,660 sqft,660,90.91,Parking,Unfurnished,13-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hadapsar-pune/8a9f8d84989414b001989448e7fe1793/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Hadapsar , Gadital, Hadapsar","₹ 47,000 No Extra Maintenance",47000,₹ 1.5 Lacs,600 sqft,600,78.33,Parking,Unfurnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9f878497ef492a0197efb749d227b3/detail
Hadapsar,"Shop in Hadapsar, Pune for Rent","Kale Borate Nagar Rd, BALAJI SUPER MARKET","₹ 6,500 + ₹ 250 Maintenance",6500,"₹ 20,000",130 sqft,130,50,Parking,Unfurnished,30-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hadapsar-pune/8a9f8d8997f47bfb0197f4a763591439/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Solapur - Pune Highway, Vaibhav Theatre Complex","₹ 43,000 No Extra Maintenance",43000,₹ 1.35 Lacs,400 sqft,400,107.5,Parking,Unfurnished,14-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/ff80818167a162e60167a2455e5660da/detail
Hadapsar,"Showroom in Hadapsar, Pune for Rent","Pune - Solapur Highway Bhaji Mandi Chowk, Monginis Cake Shop","₹ 1.5 Lacs + ₹ 5,000 Maintenance",150000,₹ 6 Lacs,700 sqft,700,88.24,Parking,Furnished,11-11-2025,Showroom,https://www.nobroker.in/property/commercial/rent/showroom-in-hadapsar-pune/8a9fb9827b5d392f017b5d7aaf891f0c/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Pune - Solapur Rd, AMOKA TRADERS","₹ 32,000 No Extra Maintenance",32000,₹ 1 Lac,264 sqft,264,121.21,Parking,Unfurnished,05-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9f9b8498bb8fed0198bbc8284b1661/detail
Hadapsar,"Office Space in Hadapsar, Pune for Rent","Mahadik house, Bhosle garden , near Pragati driving school",₹ 1.35 Lacs No Extra Maintenance,135000,₹ 4 Lacs,400 sqft,400,56.25,Parking,Furnished,30-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hadapsar-pune/8a9fad849994490e0199947fac851522/detail
Hadapsar,"Shop in Hadapsar, Pune for Rent","Wadekar Wasti Road, Near The Cult Restaurant","₹ 30,000 No Extra Maintenance",30000,₹ 1.5 Lacs,335 sqft,335,89.55,Parking,Semi Furnished,27-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hadapsar-pune/8a9fa78597b182eb0197b1c539a41ae9/detail
Hadapsar,"Shop in Hadpsar, Pune for Rent","Hadapsur mundva, The Atrium At Magarpatta","₹ 25,000 No Extra Maintenance",25000,₹ 1 Lac,247 sqft,247,101.21,Parking,Unfurnished,02-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hadpsar-pune/8a9f9b92982197e1019821b3c6bf0dad/detail
Hadapsar,"Shop in Hadapsar, Pune for Rent","Pune-Solapur Highway, Gadital,Hadapsar, PMT Bus Depot","₹ 49,000 + ₹ 5,200 Maintenance",49000,₹ 1 Lac,624 sqft,624,78.53,Parking,Unfurnished,27-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hadapsar-pune/8a9f8d94981669c8019816ac33e11022/detail
Hadapsar,"Shop in Hadapsar, Pune for Rent","Shinde Vasti,, Sun Sapphire A Wing, Shinde Vasti,, Sun Sapphire A Wing","₹ 15,000 No Extra Maintenance",15000,"₹ 90,000",200 sqft,200,75,Parking,Semi Furnished,12-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hadapsar-pune/8aa9b71b9a7ce306019a7d1d5ddb1343/detail
Pimpri Chinchwad,"Shop in Prakash Florence Kaverinagar Wakad, Pune for Rent","wakad pune , Near Maharastra Tayre","₹ 35,000 + ₹ 700 Maintenance",35000,₹ 1 Lac,538 sqft,538,65.06,Parking,Unfurnished,14-07-2024,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-prakash-florence-kaverinagar-wakad-pune/8a9f92c3909572d5019095e51126195f/detail
Pimpri Chinchwad,"Shop in Akurdi, Pune for Rent","Bijli Nagar,Chinchwad, near Hanuman Temple","₹ 25,000 + ₹ 900 Maintenance",25000,"₹ 70,000",120 sqft,120,208.33,Parking,Unfurnished,16-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-akurdi-pune/8a9f88048dea5628018dea8bfbf7266f/detail
Pimpri Chinchwad,"Office Space in Chinchwad, Pune for Rent","Ajantha Nagar, Kundan Hyundai Pimpri Chinchwad","₹ 68,000 No Extra Maintenance",68000,₹ 4.4 Lacs,085 sqft,85,62.67,Parking,Furnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-chinchwad-pune/8a9fae86994113ad0199417e4e8b1f59/detail
Pimpri Chinchwad,"Office Space in Akurdi, Pune for Rent","Thermax Chowk , Kundan Hyundai Pimpri Chinchwad","₹ 40,000 No Extra Maintenance",40000,₹ 1.5 Lacs,735 sqft,735,54.42,Parking,Unfurnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-akurdi-pune/8a9fb08596e23cbf0196e2508e930a57/detail
Pimpri Chinchwad,"Office Space in Ravet, Pune for Rent","Ravet central st, Celestial City Phase 2","₹ 30,000 No Extra Maintenance",30000,₹ 1.25 Lacs,450 sqft,450,66.67,Parking,Unfurnished,20-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-ravet-pune/8a9faf87971c2cc401971c36ca4c02dc/detail
Pimpri Chinchwad,"Shop in Kiwale , Pune for Rent","SHEGUN SOCIETY near Pumbai Gate Family Garden and Restaurant Veg - Non veg, SHEGUN SOCIETY","₹ 12,000 No Extra Maintenance",12000,"₹ 50,000",236 sqft,236,50.85,Parking,Unfurnished,16-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kiwale--pune/8a9fb9838a028f41018a031864a775e7/detail
Pimpri Chinchwad,"Shop in Ganesh Shrishti, Pune for Rent","ravet, near Dmart","₹ 32,000 No Extra Maintenance",32000,₹ 1 Lac,247 sqft,247,129.55,Parking,Furnished,06-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-ganesh-shrishti-pune/8a9f8e839a5d2143019a5d46d2120c8c/detail
Pimpri Chinchwad,"Office Space in Wipro Circle, Pune for Rent","Wipro Circle, wipro Circle","₹ 25,000 No Extra Maintenance",25000,"₹ 75,000",526 sqft,526,47.53,Parking,Semi Furnished,29-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-wipro-circle-pune/8a9f8b438caba059018cabd6069c1c28/detail
Pimpri Chinchwad,"Office Space in 1, 56a/1, Morawadi Rd, Morewadi, Pimpri Colony, Pimpri-chinchwad, Maharashtra 411018, India, Pune for Rent","A-77, near spree hotel and morwadi court",₹ 1.5 Lacs No Extra Maintenance,150000,₹ 10 Lacs,300 sqft,300,65.22,Parking,Unfurnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-1--56a-1--morawadi-rd--morewadi--pimpri-colony--pimpri-chinchwad--maharashtra-411018--india-pune/8a9f9b83960455d10196049f4466226e/detail
Pimpri Chinchwad,"Shop in Chinchwad, Pune for Rent","Mumbai Pune Road next to jain temple, Mayur Restaurant - Chinchwad","₹ 60,000 No Extra Maintenance",60000,₹ 3.5 Lacs,492 sqft,492,121.95,Parking,Semi Furnished,17-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-chinchwad-pune/8a9fa9ab98d174680198d1b9e8d21ca3/detail
Pimpri Chinchwad,"Shop in Pimpri-chinchwad, Pune for Rent","Kasarwadi, Pune-Mumbai Hwy, Hotel Kalasagar","₹ 79,000 + ₹ 10,000 Maintenance",79000,₹ 3 Lacs,675 sqft,675,117.04,Parking,Unfurnished,18-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-pimpri-chinchwad-pune/8a9fa18399de198d0199de7c53801901/detail
Pimpri Chinchwad,"Office Space in Moshi, Pune for Rent","aher, Shoppers mall","₹ 30,000 No Extra Maintenance",30000,₹ 1 Lac,385 sqft,385,77.92,Parking,Unfurnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-moshi-pune/8a9f8488975018280197505672e40f87/detail
Pimpri Chinchwad,"Shop in Pimpri-chinchwad, Pune for Rent","Jawakar Nagar, Pimple Gurav, Summer 9 family restaurant & bar","₹ 12,000 + ₹ 501 Maintenance",12000,"₹ 50,000",220 sqft,220,54.55,Parking,Unfurnished,19-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-pimpri-chinchwad-pune/8aa9a3f4990df4fc01990e37c788262b/detail
Pimpri Chinchwad,"Shop in Moshi, Pune for Rent","Mahadev Balaji Landge Road near RTO Pimpri Chinchwad, Moshi Pradhikaran Pune","₹ 24,000 No Extra Maintenance",24000,₹ 1 Lac,200 sqft,200,120,Parking,Unfurnished,19-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-moshi-pune/8a9fa78796c8e9ae0196c926aa6817f0/detail
Pimpri Chinchwad,"Office Space in Nashik Phata, Pune for Rent","Mumbai Pune National Highway, Bhosari/NashikPhata Metro Station","₹ 32,000 No Extra Maintenance",32000,₹ 2 Lacs,325 sqft,325,98.46,Parking,Unfurnished,18-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-nashik-phata-pune/8aa99d5198faa59b0198faf9068332bd/detail
Pimpri Chinchwad,"Office Space in Wakad, Pune for Rent","Bhumakar Chowk,Near Amore Spa, Near Kasturi Chowk","₹ 75,000 + ₹ 8,800 Maintenance",75000,₹ 2.5 Lacs,092 sqft,92,68.68,Parking,Furnished,15-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-wakad-pune/8a9fc3838907810f018907b7bc8e1b21/detail
Pimpri Chinchwad,"Office Space in Pimpri-chinchwad, Pune for Rent","Sambhaji nagar, Hotel Shipra","₹ 23,000 + ₹ 200 Maintenance",23000,"₹ 50,000",400 sqft,400,57.5,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-pimpri-chinchwad-pune/8aa997739a53b08b019a5410192b2655/detail
Pimpri Chinchwad,"Office Space in Gera, Pune for Rent","Gera Imperium Gateway Building A, Nashik fata, Bhosri metro station","₹ 28,000 No Extra Maintenance",28000,₹ 1 Lac,256 sqft,256,109.38,Parking,Unfurnished,09-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-gera-pune/8aa98d599a639f91019a63d185b21ea1/detail
Pimpri Chinchwad,"Office Space in Kasarwadi, Pune for Rent","Nashik Phata Flyover, Bhosari Metro Station(Nashik Phata)","₹ 28,000 No Extra Maintenance",28000,"₹ 80,000",250 sqft,250,112,Parking,Unfurnished,18-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kasarwadi-pune/8a9f8b4393c38d650193c3c8bad1187a/detail
Pimpri Chinchwad,"Shop in Wakad, Pune for Rent","Datta Mandir Rd, , near Polaris Healthcare","₹ 40,000 No Extra Maintenance",40000,₹ 1.5 Lacs,359 sqft,359,111.42,Parking,Semi Furnished,16-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-wakad-pune/8a9fdc83832ca64201832cf86e1e367c/detail
Pimpri Chinchwad,"Office Space in Pimple Saudagar, Pune for Rent","govind garden chowk, iMEX HOSPITAL- Best Multi Speciality I Best Physician I ICU I Trauma Center I Gynaecology I Ortho Hospital In Pimple Saudagar",₹ 1 Lac No Extra Maintenance,100000,₹ 3 Lacs,300 sqft,300,76.92,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-pimple-saudagar-pune/8a9fad839a2f359f019a2fae129f2c79/detail
Pimpri Chinchwad,"Office Space in Pimpri-chinchwad, Pune for Rent","MIDC Rd, Gharonda Veg. Restaurant","₹ 70,000 + ₹ 7,500 Maintenance",70000,₹ 3 Lacs,914 sqft,914,76.59,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-pimpri-chinchwad-pune/8a9f9f827737b9430177385274e73107/detail
Pimpri Chinchwad,"Office Space in Pimpri Colony, Pune for Rent","Morewadi, Old Mumbai Rd, Vijay Sales - Chinchwad","₹ 35,000 + ₹ 3,500 Maintenance",35000,₹ 1.5 Lacs,507 sqft,507,69.03,Parking,Furnished,31-12-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-pimpri-colony-pune/8a9f8fc3911deb5201911e46d94813ec/detail
Pimpri Chinchwad,"Office Space in Pimple Nilakh, Pune for Rent","New DP Road, Stylette Family Salon","₹ 1 Lac + ₹ 12,000 Maintenance",100000,₹ 6 Lacs,200 sqft,200,83.33,Parking,Unfurnished,13-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-pimple-nilakh-pune/8a9fae869748d33401974942a71336e0/detail
Pimpri Chinchwad,"Office Space in Bhosari, Pune for Rent","Bhosari-Alandi Road,Jai Maharashtra Chowk, Sakhubai Gabaji Gawali Garden","₹ 55,000 No Extra Maintenance",55000,₹ 2.5 Lacs,400 sqft,400,39.29,Parking,Unfurnished,18-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-bhosari-pune/8a9f9e827ba5f6b4017ba6005f9903a0/detail
Pimpri Chinchwad,"Shop in Prakash Florence Kaverinagar Wakad, Pune for Rent","wakad pune , Near Maharastra Tayre","₹ 35,000 + ₹ 700 Maintenance",35000,₹ 1 Lac,538 sqft,538,65.06,Parking,Unfurnished,14-07-2024,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-prakash-florence-kaverinagar-wakad-pune/8a9f92c3909572d5019095e51126195f/detail
Kalewadi,"Godown/Warehouse in Kalewadi, Pune for Rent","panchnath devasthan kalewadi main road gaon, Naadbramha Idli, Kalewadi","₹ 10,500 No Extra Maintenance",10500,"₹ 25,000",300 sqft,300,35,Parking,Semi Furnished,12-11-2025,Warehouse,https://www.nobroker.in/property/commercial/rent/godown-warehouse-in--kalewadi-pune/8aa98d509a77bcdd019a782931562a0e/detail
Kalewadi,"Office Space in Kalewadi, Pune for Rent","near Jyotiba Mangal Karyalay, near Gupta Kirana Wholesale","₹ 14,000 No Extra Maintenance",14000,"₹ 40,000",280 sqft,280,50,Parking,Unfurnished,09-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kalewadi-pune/8a9f85839a6c2609019a6c97420326ce/detail
Kalewadi,"Office Space in Kalewadi, Pune for Rent","Ware classics building, kalewadi main road , next to bharati hospital","₹ 12,000 + No Extra Maintenance",12000,"₹ 60,000",550 sqft,550,21.82,Parking,Semi Furnished,05-02-2023,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kalewadi-pune/8a9f88827830d91d017830f1278708e8/detail
Kalewadi,"Co-Working space in Kalewadi , Pune for Rent","VijayNagar, Kairali Bazar","₹ 5,000 + ₹ 500 Maintenance",5000,"₹ 15,000",100 sqft,100,50,Parking,Furnished,07-11-2025,,https://www.nobroker.in/property/commercial/rent/co-working-space-in-kalewadi--pune/8a9f8c439006f8e1019007121aba0ade/detail
Kalewadi,"Office Space in Pimpri-chinchwad, Pune for Rent","kalewadi , BT Memorial High School","₹ 10,000 No Extra Maintenance",10000,"₹ 50,000",200 sqft,200,50,Parking,Unfurnished,06-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-pimpri-chinchwad-pune/8a9f028389aedffd0189afd764ea0983/detail
Kalewadi,"Shop in Kalewadi, Pune for Rent","Vaibhav Colony, Jyotiba Mandir Kalewadi JQ9R+8HM Vaibhav Colony, Kalewadi Pimpri-Chinchwad, Maharashtra 411017 India, Jyotiba Mandir Kalewadi","₹ 35,000 No Extra Maintenance",35000,₹ 1 Lac,400 sqft,400,87.5,Parking,Unfurnished,04-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi-pune/8a9fbf8282729c45018273420fb30009/detail
Kalewadi,"Office Space in Kalewadi, Pune for Rent","Vaibhav Colony, Jyotiba Mandir Kalewadi JQ9R+8HM Vaibhav Colony, Kalewadi Pimpri-Chinchwad, Maharashtra 411017 India, Jyotiba Mandir Kalewadi","₹ 14,000 No Extra Maintenance",14000,"₹ 30,000",350 sqft,350,40,Parking,Unfurnished,04-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in--kalewadi-pune/8a9fc68282729c600182734209667f03/detail
Kalewadi,"Shop in Kalewadi, Pune for Rent","Sneh Colony Rd, Hari Om Plaza","₹ 12,500 No Extra Maintenance",12500,"₹ 30,000",326 sqft,326,38.34,Parking,Unfurnished,31-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi-pune/ff8081816acdd624016acf5ae9ea73d0/detail
Kalewadi,"Office Space in Kalewadi, Pune for Rent","JQ9R+8HM, Vaibhav Colony, Kalewadi, Pimpri-Chinchwad, Maharashtra 411017, Jyotiba Mandir Kalewadi","₹ 15,000 No Extra Maintenance",15000,"₹ 50,000",270 sqft,270,55.56,Parking,Unfurnished,28-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kalewadi-pune/8a9fb68285fc56f90185fc9a2f11379d/detail
Kalewadi,"Office Space in Amar Deep Colony 1, Pune for Rent","Suhani Residency, Behind Prerna Bank, opp Dmart Thergaon","₹ 9,000 No Extra Maintenance",9000,"₹ 18,000",400 sqft,400,22.5,Parking,Unfurnished,26-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-amar-deep-colony-1-pune/8a9fbd827d328099017d3307ddc9451b/detail
Kalewadi,"Shop in Kalewadi, Pune for Rent","Nexas carnation, Near Athwan Hotel","₹ 90,000 + ₹ 3,000 Maintenance",90000,₹ 5 Lacs,450 sqft,450,62.07,Parking,Unfurnished,26-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi-pune/8a9f93839a240d9a019a245cd4821e95/detail
Kalewadi,"Shop in Kalewadi Pachpir Chowk, Pune for Rent","Soham, Shivratna colony, Pachpir Chowk","₹ 12,000 No Extra Maintenance",12000,"₹ 35,000",300 sqft,300,40,Parking,Unfurnished,25-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi-pachpir-chowk-pune/8a9fb8839a1ee736019a1ef5404b0429/detail
Kalewadi,"Shop in Kalewadi, Pune for Rent","Kalewadi rd, Koteshwar Petroleum","₹ 10,000 No Extra Maintenance",10000,"₹ 30,000",280 sqft,280,35.71,Parking,Unfurnished,23-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi-pune/8a9fb6827c7e6a42017c8d859e207199/detail
Kalewadi,"Office Space in Kalewadi, Pune for Rent","Pachpir Chowk, Hedgewar Road, Hotel Athvan Bar and Restaurant","₹ 8,500 No Extra Maintenance",8500,"₹ 15,000",160 sqft,160,53.13,Parking,Furnished,23-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kalewadi-pune/8a9f8a82859030f401859054232b1c9f/detail
Kalewadi,"Shop in Pimpri-chinchwad, Pune for Rent","Vaibhav Colony, Jyotiba Mandir Kalewadi","₹ 15,000 + No Extra Maintenance",15000,"₹ 30,000",187 sqft,187,80.21,Parking,Unfurnished,20-06-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-pimpri-chinchwad-pune/8a9fed8489e0522c0189e078f9240cd4/detail
Kalewadi,"Shop in Kalewadi, Pune for Rent","Hedgewar Road, Kalewadi, Hotel Athvan Bar and Restaurant","₹ 14,000 No Extra Maintenance",14000,"₹ 30,000",250 sqft,250,56,Parking,Unfurnished,19-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi-pune/8a9fd5838978ccfd0189798cf4b951cb/detail
Kalewadi,"Shop in Pimpri-chinchwad, Pune for Rent","Kalewadi, near Anand Hospital","₹ 15,000 No Extra Maintenance",15000,"₹ 30,000",200 sqft,200,75,Parking,Unfurnished,16-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-pimpri-chinchwad-pune/8a9fb88399f08df90199f0ba39da0da7/detail
Kalewadi,"Shop in Kalewadi, Pune for Rent","Kalewadi Main Rd,, Stree Hospital","₹ 16,000 + No Extra Maintenance",16000,"₹ 30,000",163 sqft,163,98.16,Parking,Unfurnished,17-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi-pune/8a9f92d772d59cec0172d7f0c5525ced/detail
Kalewadi,"Commercial Property in Kalewadi, Pune for Rent","Sai Plaza, Nadhe Nagar, Opp. Jyotiba Mandir and above Rajbhoj Sweet,","₹ 10,000 + ₹ 1,500 Maintenance",10000,"₹ 30,000",200 sqft,200,50,Parking,Unfurnished,16-10-2025,Commercial,https://www.nobroker.in/property/commercial/rent/other-business-in-kalewadi-pune/8a9f8cc38ee1dbff018ee1fd587c0eb6/detail
Kalewadi,"Shop in Jyotiba Nagar, Pune for Rent","Kalewadi , near sunlite bakery","₹ 32,000 + No Extra Maintenance",32000,₹ 1 Lac,350 sqft,350,91.43,Parking,Unfurnished,16-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-jyotiba-nagar-pune/8a9f92848f89b26b018f8a13fbb329b0/detail
Kalewadi,"Shop in Pimpri-chinchwad, Pune for Rent","Amar Deep Colony 1, Deep Automobiles","₹ 10,000 No Extra Maintenance",10000,"₹ 25,000",150 sqft,150,66.67,Parking,Unfurnished,30-09-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-pimpri-chinchwad-pune/8a9f85c38cc2cce9018cc3a1498445a5/detail
Kalewadi,"Shop in Pimpri-chinchwad,, Pune for Rent","Kalewadi Main Rd, , near Akshay Mini Market","₹ 12,000 No Extra Maintenance",12000,"₹ 50,000",250 sqft,250,48,Parking,Semi Furnished,03-12-2022,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-pimpri-chinchwad--pune/8a9fae827f05da32017f061cbda1216a/detail
Kalewadi,"Shop in Kalewadi , Pune for Rent","Adarsh Nagar , near KOTESHWAR PETROLEUM","₹ 10,000 No Extra Maintenance",10000,"₹ 30,000",162 sqft,162,61.73,Parking,Unfurnished,22-09-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-kalewadi--pune/8a9faf849974874c019974df040d12ef/detail
Kalewadi,"Commercial Property in 97/48, Pune for Rent","Moraya Colony Road,brt road,kalewadi, Moraya Colony Road","₹ 30,000 No Extra Maintenance",30000,₹ 1 Lac,500 sqft,500,60,Parking,Unfurnished,25-09-2025,Commercial,https://www.nobroker.in/property/commercial/rent/other-business-in-97-48-pune/8a9f8ec391e12f3a0191e184d9da1a31/detail
Kalewadi,"Office Space in Kalewadi, Pune for Rent","vaibhav colony , Jyotiba Mandir","₹ 12,000 No Extra Maintenance",12000,"₹ 35,997",180 sqft,180,66.67,Parking,Unfurnished,29-05-2024,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-kalewadi-pune/8a9fc782816bf85901816c71689b540d/detail
