locality,location_full,property_type,sqft,rent,deposit,price_per_sqft,furnishing
Balewadi,"Balewadi Gaon, Kunal Aspiree",Office,600,55000,165000,91.67,Unfurnished
Balewadi,"office 107, Madhuban Business park, Sapphire Road, Balewadi, Pune- 411045, UCO Bank",Office,550,38000,80000,69.09,Furnished
Balewadi,"Balewadi High Street,",Office,773,360000,1080000,465.72,Semi-Furnished
Balewadi,"Balewadi High Street, Payal Super Market",Commercial,531,925000,2775000,1742,Furnished
Balewadi,"388a, Madhuban Society Rd, next to, Balewadi, Pune, Maharashtra 411045, India, Gagan Klara",Office,375,22000,44000,58.67,Unfurnished
Balewadi,"Balewadi Gaon, Kunal Aspiree",Shop,119,20000,75000,168.07,Unfurnished
Balewadi,"sawant elite , Bajirav Shripati Road, in front of 51 balewadi",Office,278,10000,40000,35.97,Unfurnished
Balewadi,"Balewadi High Street, Opposite Perfect 10",Office,718,50000,150000,69.64,Unfurnished
Balewadi,"Yashoda Chawk, DP Rd, Balewadi, Pune, Maharashtra 411045, India, Amit Sapphire Park",Office,300,285000,855000,950,Unfurnished
Wagholi,"Nagar Rd, Decathlon Sports - Wagholi",Shop,200,30000,90000,150,Unfurnished
Wagholi,"Nagar Road, Opposite HP petrol pump Wagholi",Shop,225,25000,50000,111.11,Unfurnished
Wagholi,"Nagar Rd, Croma - Wagholi",Shop,350,22000,50000,62.86,Unfurnished
Wagholi,"Kesnand Rd, Rudra society, NEXA Service (Kothari Wheels)",Office,415,19000,60000,45.78,Semi-Furnished
Wagholi,"Kalubai Nagar, Undre Hospital",Shop,500,16000,40000,32,Unfurnished
Wagholi,"nagar road, TaTa Motors Cars Showroom - Rudra Motors, Wagholi",Office,750,45000,135000,60,Unfurnished
Wagholi,"pune- Nagar Road, Wakefit - Furniture Store in Wagholi, Pune",Office,100,75000,225000,750,Furnished
Wagholi,"Nagar Road Wagholi in front of HP Petrol Pump, New Zudio Store",Office,576,35000,105000,60.76,Unfurnished
Wagholi,"lalwani capital, near JD shubharambh and opposite to bjs college",Office,707,280000,840000,396.04,Unfurnished
Wagholi,"Baif Rd, President English Medium School",Office,581,26000,50000,44.75,Furnished
Wagholi,"bakori phata ,Bakori road, Near Bjs School",Office,479,35000,105000,73.07,Unfurnished
Wagholi,"Nagar Rd, Kumar Palladium Plaza",Office,500,60000,180000,120,Unfurnished
Wagholi,"Rainbow Cross Road, D Mart Ready Rainbow Cross Road",Office,236,16000,50000,67.8,Unfurnished
Wagholi,"kharadi main road, Gera World Of Joy",Shop,150,38000,114000,253.33,Unfurnished
Wagholi,"Pune Nagar Road, Pavana Sahkari Bank Wagholi",Office,300,75000,225000,250,Semi-Furnished
Wagholi,"Bhawadi, Near Rising Star English Medium School",Shop,200,7000,20000,35,Semi-Furnished
Wagholi,"Nagar Rd, Ashok Leyland wagholi",Shop,130,9000,10000,69.23,Unfurnished
Wagholi,"sai sathyam park , Geeta Waves Society, Sai Satyam Park Wagholi",Shop,160,7000,20000,43.75,Semi-Furnished
Wagholi,"Nagar Road, Mercedes-Benz Silver Star Workshop",Shop,250,40000,120000,160,Unfurnished
Wagholi,"Kawade Wasti, , Trimurti Gym and Health Club (Gents and Ladies)",Shop,100,4500,20000,45,Unfurnished
Wagholi,"Pune Nagar highway near wagholi, Near decathlon",Office,171,18000,54000,105.26,Unfurnished
